,mutation,strategy,gems,n_cols,overall_best,overall_best_mean,overall_best_std,better_gems_total,better_gems_mean,worse_gems_total,worse_gems_mean
1,single_mutation,MatchSMStrategy,0,10,0.1596973052789485,27.869055057910018,27.869055057910018,0,0.0,0,0.0
2,single_mutation,MatchSMStrategy,0,50,0.17717909640147766,0.4772980187004652,0.4772980187004652,0,0.0,0,0.0
3,single_mutation,MatchSMStrategy,0,100,0.0,0.3459623236688578,0.3459623236688578,0,0.0,0,0.0
4,single_mutation,MatchSMStrategy,5,10,0.17717909640147766,0.45619916644196035,0.45619916644196035,862,43.1,485,24.25
5,single_mutation,MatchSMStrategy,5,50,0.0,0.6039731519074947,0.6039731519074947,297,14.85,231,11.55
6,single_mutation,MatchSMStrategy,5,100,0.13609542626687954,0.3349018231349204,0.3349018231349204,266,13.3,184,9.2
7,single_mutation,MatchSMStrategy,10,10,0.19858953760134257,0.42811247399405966,0.42811247399405966,1608,80.4,781,39.05
8,single_mutation,MatchSMStrategy,10,50,0.0,8.58064789915578,8.58064789915578,774,38.7,552,27.6
9,single_mutation,MatchSMStrategy,10,100,0.12449391790460304,0.5253631816463255,0.5253631816463255,576,28.8,455,22.75
10,point_mutation,MatchPMStrategy,0,10,0.19858953760134257,0.39695213671225393,0.39695213671225393,0,0.0,0,0.0
11,point_mutation,MatchPMStrategy,0,50,0.0,0.15730476058451687,0.15730476058451687,0,0.0,0,0.0
12,point_mutation,MatchPMStrategy,0,100,0.0,0.005471077347749567,0.005471077347749567,0,0.0,0,0.0
13,point_mutation,MatchPMStrategy,5,10,0.15954225920205997,0.37596296412483643,0.37596296412483643,2462,123.1,646,32.3
14,point_mutation,MatchPMStrategy,5,50,0.0,7.012419481876202e+24,7.012419481876202e+24,1840,92.0,943,47.15
15,point_mutation,MatchPMStrategy,5,100,0.04324727850917919,0.06332090996673764,0.06332090996673764,1603,80.15,656,32.8
16,point_mutation,MatchPMStrategy,10,10,0.0,0.12728464488187455,0.12728464488187455,3341,167.05,804,40.2
17,point_mutation,MatchPMStrategy,10,50,0.0,0.017298911403671676,0.017298911403671676,2788,139.4,1194,59.7
18,point_mutation,MatchPMStrategy,10,100,0.0,0.15129076062385022,0.15129076062385022,2478,123.9,932,46.6
19,probabilistic_mutation,MatchSMStrategy,0,10,0.0,2.126402623670039e+25,2.126402623670039e+25,0,0.0,0,0.0
20,probabilistic_mutation,MatchSMStrategy,0,50,0.0,0.19173057989077694,0.19173057989077694,0,0.0,0,0.0
21,probabilistic_mutation,MatchSMStrategy,0,100,0.04324727850917919,0.580617618827763,0.580617618827763,0,0.0,0,0.0
22,probabilistic_mutation,MatchSMStrategy,5,10,0.0,210.51356867437033,210.51356867437033,34,1.7,53,2.65
23,probabilistic_mutation,MatchSMStrategy,5,50,0.0,0.19173057989077694,0.19173057989077694,0,0.0,0,0.0
24,probabilistic_mutation,MatchSMStrategy,5,100,0.04324727850917919,0.580617618827763,0.580617618827763,0,0.0,0,0.0
25,probabilistic_mutation,MatchSMStrategy,10,10,0.0,31.729273997904997,31.729273997904997,56,2.8,145,7.25
26,probabilistic_mutation,MatchSMStrategy,10,50,0.0,0.19173057989077694,0.19173057989077694,0,0.0,0,0.0
27,probabilistic_mutation,MatchSMStrategy,10,100,0.04324727850917919,0.580617618827763,0.580617618827763,0,0.0,0,0.0
